"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","MLN_USD","A","1960",25071.833,
"AUS","GDP","TOT","MLN_USD","A","1961",25363.455,
"AUS","GDP","TOT","MLN_USD","A","1962",27953.904,
"AUS","GDP","TOT","MLN_USD","A","1963",30431.547,
"AUS","GDP","TOT","MLN_USD","A","1964",32742.466,
"AUS","GDP","TOT","MLN_USD","A","1965",34538.087,
"AUS","GDP","TOT","MLN_USD","A","1966",38340.322,
"AUS","GDP","TOT","MLN_USD","A","1967",41063.061,
"AUS","GDP","TOT","MLN_USD","A","1968",46555.241,
"AUS","GDP","TOT","MLN_USD","A","1969",52208.329,
"AUS","GDP","TOT","MLN_USD","A","1970",58848.144,
"AUS","GDP","TOT","MLN_USD","A","1971",64124.105,
"AUS","GDP","TOT","MLN_USD","A","1972",69793.489,
"AUS","GDP","TOT","MLN_USD","A","1973",78827.54,
"AUS","GDP","TOT","MLN_USD","A","1974",86297.681,
"AUS","GDP","TOT","MLN_USD","A","1975",96825.009,
"AUS","GDP","TOT","MLN_USD","A","1976",104254.247,
"AUS","GDP","TOT","MLN_USD","A","1977",110238.323,
"AUS","GDP","TOT","MLN_USD","A","1978",123302.75,
"AUS","GDP","TOT","MLN_USD","A","1979",137936.933,
"AUS","GDP","TOT","MLN_USD","A","1980",154983.499,
"AUS","GDP","TOT","MLN_USD","A","1981",178230.502,
"AUS","GDP","TOT","MLN_USD","A","1982",181863.803,
"AUS","GDP","TOT","MLN_USD","A","1983",196458.128,
"AUS","GDP","TOT","MLN_USD","A","1984",211843.077,
"AUS","GDP","TOT","MLN_USD","A","1985",229054.181,
"AUS","GDP","TOT","MLN_USD","A","1986",240126.638,
"AUS","GDP","TOT","MLN_USD","A","1987",261033.072,
"AUS","GDP","TOT","MLN_USD","A","1988",283021.565,
"AUS","GDP","TOT","MLN_USD","A","1989",299724.536,
"AUS","GDP","TOT","MLN_USD","A","1990",304261.841,
"AUS","GDP","TOT","MLN_USD","A","1991",314020.089,
"AUS","GDP","TOT","MLN_USD","A","1992",334486.069,
"AUS","GDP","TOT","MLN_USD","A","1993",355562.086,
"AUS","GDP","TOT","MLN_USD","A","1994",381226.381,
"AUS","GDP","TOT","MLN_USD","A","1995",403632.919,
"AUS","GDP","TOT","MLN_USD","A","1996",424344.874,
"AUS","GDP","TOT","MLN_USD","A","1997",450588.919,
"AUS","GDP","TOT","MLN_USD","A","1998",478043.5,
"AUS","GDP","TOT","MLN_USD","A","1999",510551.679,
"AUS","GDP","TOT","MLN_USD","A","2000",538993.279,
"AUS","GDP","TOT","MLN_USD","A","2001",570130.213,
"AUS","GDP","TOT","MLN_USD","A","2002",600598.648,
"AUS","GDP","TOT","MLN_USD","A","2003",638188.928,
"AUS","GDP","TOT","MLN_USD","A","2004",677201.4,
"AUS","GDP","TOT","MLN_USD","A","2005",719487.043,
"AUS","GDP","TOT","MLN_USD","A","2006",775395.11,
"AUS","GDP","TOT","MLN_USD","A","2007",826392.428,
"AUS","GDP","TOT","MLN_USD","A","2008",852737.657,
"AUS","GDP","TOT","MLN_USD","A","2009",903969.823,
"AUS","GDP","TOT","MLN_USD","A","2010",943515.675,
"AUS","GDP","TOT","MLN_USD","A","2011",992802.546,
"AUS","GDP","TOT","MLN_USD","A","2012",997651.363,
"AUS","GDP","TOT","MLN_USD","A","2013",1104672.434,
"AUS","GDP","TOT","MLN_USD","A","2014",1117601.897,
"AUS","GDP","TOT","MLN_USD","A","2015",1124752.51,
"AUS","GDP","TOT","MLN_USD","A","2016",1212854.276,
"AUS","GDP","TOT","MLN_USD","A","2017",1247085.553,
"AUS","GDP","TOT","MLN_USD","A","2018",1323863.624,
"AUS","GDP","TOT","MLN_USD","A","2019",1335057.214,
"AUS","GDP","TOT","MLN_USD","A","2020",1438731.74,
"AUS","GDP","TOT","MLN_USD","A","2021",1604645.774,
"AUS","GDP","TOT","USD_CAP","A","1960",2412.627589,
"AUS","GDP","TOT","USD_CAP","A","1961",2383.188902,
"AUS","GDP","TOT","USD_CAP","A","1962",2577.332834,
"AUS","GDP","TOT","USD_CAP","A","1963",2752.620592,
"AUS","GDP","TOT","USD_CAP","A","1964",2902.590472,
"AUS","GDP","TOT","USD_CAP","A","1965",3001.900269,
"AUS","GDP","TOT","USD_CAP","A","1966",3275.594754,
"AUS","GDP","TOT","USD_CAP","A","1967",3447.128012,
"AUS","GDP","TOT","USD_CAP","A","1968",3833.100887,
"AUS","GDP","TOT","USD_CAP","A","1969",4207.900059,
"AUS","GDP","TOT","USD_CAP","A","1970",4647.07925,
"AUS","GDP","TOT","USD_CAP","A","1971",4858.483019,
"AUS","GDP","TOT","USD_CAP","A","1972",5204.861685,
"AUS","GDP","TOT","USD_CAP","A","1973",5790.035828,
"AUS","GDP","TOT","USD_CAP","A","1974",6238.997869,
"AUS","GDP","TOT","USD_CAP","A","1975",6931.479288,
"AUS","GDP","TOT","USD_CAP","A","1976",7388.622024,
"AUS","GDP","TOT","USD_CAP","A","1977",7718.941893,
"AUS","GDP","TOT","USD_CAP","A","1978",8544.397636,
"AUS","GDP","TOT","USD_CAP","A","1979",9446.12995,
"AUS","GDP","TOT","USD_CAP","A","1980",10466.645934,
"AUS","GDP","TOT","USD_CAP","A","1981",11943.102499,
"AUS","GDP","TOT","USD_CAP","A","1982",11977.173828,
"AUS","GDP","TOT","USD_CAP","A","1983",12762.408039,
"AUS","GDP","TOT","USD_CAP","A","1984",13597.640312,
"AUS","GDP","TOT","USD_CAP","A","1985",14507.843207,
"AUS","GDP","TOT","USD_CAP","A","1986",14990.675567,
