"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRL","Ireland","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2001","2001","USD","US Dollar","0","Units",,,15713.18,,
"IRL","Ireland","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2002","2002","USD","US Dollar","0","Units",,,15773.65,,
"IRL","Ireland","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2003","2003","USD","US Dollar","0","Units",,,15944.71,,
"IRL","Ireland","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2004","2004","USD","US Dollar","0","Units",,,17075.7,,
"IRL","Ireland","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2005","2005","USD","US Dollar","0","Units",,,17822.01,,
"IRL","Ireland","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2006","2006","USD","US Dollar","0","Units",,,17655.56,,
"IRL","Ireland","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2007","2007","USD","US Dollar","0","Units",,,18657.45,,
"IRL","Ireland","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2008","2008","USD","US Dollar","0","Units",,,18288.89,,
"IRL","Ireland","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2009","2009","USD","US Dollar","0","Units",,,19146.28,,
"IRL","Ireland","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","Units",,,19324.47,,
"IRL","Ireland","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","Units",,,18842.63,,
"IRL","Ireland","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","Units",,,18528.35,,
"IRL","Ireland","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","Units",,,18434.57,,
"IRL","Ireland","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","Units",,,18400.98,,
"IRL","Ireland","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2015","2015","USD","US Dollar","0","Units",,,18454.48,,
"IRL","Ireland","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2016","2016","USD","US Dollar","0","Units",,,19519.59,,
"IRL","Ireland","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2017","2017","USD","US Dollar","0","Units",,,19665.95,,
"IRL","Ireland","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2018","2018","USD","US Dollar","0","Units",,,20205.09,,
"IRL","Ireland","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2019","2019","USD","US Dollar","0","Units",,,20541.13,,
"IRL","Ireland","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2020","2020","USD","US Dollar","0","Units",,,21241.01,,
"IRL","Ireland","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2021","2021","USD","US Dollar","0","Units",,,20957.12,,
"ESP","Spain","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2001","2001","USD","US Dollar","0","Units",,,10405.11,,
"ESP","Spain","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2002","2002","USD","US Dollar","0","Units",,,10299.45,,
"ESP","Spain","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2003","2003","USD","US Dollar","0","Units",,,10199.13,,
"ESP","Spain","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2004","2004","USD","US Dollar","0","Units",,,10102.31,,
"ESP","Spain","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2005","2005","USD","US Dollar","0","Units",,,10651.7,,
