"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LFPR","15_24","PC_AGE","A","1966",69.9087518047528,
"AUS","LFPR","15_24","PC_AGE","A","1967",69.4241470063412,
"AUS","LFPR","15_24","PC_AGE","A","1968",68.2222340425723,
"AUS","LFPR","15_24","PC_AGE","A","1969",67.5777348522459,
"AUS","LFPR","15_24","PC_AGE","A","1970",68.1216428316012,
"AUS","LFPR","15_24","PC_AGE","A","1971",66.6428589212702,
"AUS","LFPR","15_24","PC_AGE","A","1972",66.9244784308265,
"AUS","LFPR","15_24","PC_AGE","A","1973",66.9524907072786,
"AUS","LFPR","15_24","PC_AGE","A","1974",66.4529173283449,
"AUS","LFPR","15_24","PC_AGE","A","1975",67.9551909866611,
"AUS","LFPR","15_24","PC_AGE","A","1976",67.6785061301807,
"AUS","LFPR","15_24","PC_AGE","A","1977",69.498576841792,
"AUS","LFPR","15_24","PC_AGE","A","1978",69.6489960625205,
"AUS","LFPR","15_24","PC_AGE","A","1979",70.473779658913,
"AUS","LFPR","15_24","PC_AGE","A","1980",72.174924543831,
"AUS","LFPR","15_24","PC_AGE","A","1981",72.1584824802789,
"AUS","LFPR","15_24","PC_AGE","A","1982",71.7531191038961,
"AUS","LFPR","15_24","PC_AGE","A","1983",71.2900577149814,
"AUS","LFPR","15_24","PC_AGE","A","1984",71.019674826645,
"AUS","LFPR","15_24","PC_AGE","A","1985",71.2164644295526,
"AUS","LFPR","15_24","PC_AGE","A","1986",72.0067001293894,
"AUS","LFPR","15_24","PC_AGE","A","1987",71.2946138374162,
"AUS","LFPR","15_24","PC_AGE","A","1988",71.0381995181782,
"AUS","LFPR","15_24","PC_AGE","A","1989",72.0939720228192,
"AUS","LFPR","15_24","PC_AGE","A","1990",72.1032420653818,
"AUS","LFPR","15_24","PC_AGE","A","1991",69.6571060405648,
"AUS","LFPR","15_24","PC_AGE","A","1992",69.3863029674889,
"AUS","LFPR","15_24","PC_AGE","A","1993",68.7254946720827,
"AUS","LFPR","15_24","PC_AGE","A","1994",70.5758860295384,
"AUS","LFPR","15_24","PC_AGE","A","1995",71.6405504471757,
"AUS","LFPR","15_24","PC_AGE","A","1996",71.6632708268316,
"AUS","LFPR","15_24","PC_AGE","A","1997",70.0600330689198,
"AUS","LFPR","15_24","PC_AGE","A","1998",69.8699636904553,
"AUS","LFPR","15_24","PC_AGE","A","1999",69.92459085612,
"AUS","LFPR","15_24","PC_AGE","A","2000",70.181789984394,
"AUS","LFPR","15_24","PC_AGE","A","2001",70.671478424298,
"AUS","LFPR","15_24","PC_AGE","A","2002",69.9759238337142,
"AUS","LFPR","15_24","PC_AGE","A","2003",70.2220148682731,
"AUS","LFPR","15_24","PC_AGE","A","2004",70.1403412925226,
"AUS","LFPR","15_24","PC_AGE","A","2005",70.8099760238859,
"AUS","LFPR","15_24","PC_AGE","A","2006",70.8013217637107,
"AUS","LFPR","15_24","PC_AGE","A","2007",70.7603560750118,
"AUS","LFPR","15_24","PC_AGE","A","2008",70.7474732728745,
"AUS","LFPR","15_24","PC_AGE","A","2009",69.1003951804499,
"AUS","LFPR","15_24","PC_AGE","A","2010",68.4248870929796,
"AUS","LFPR","15_24","PC_AGE","A","2011",68.1394454394193,
"AUS","LFPR","15_24","PC_AGE","A","2012",67.5192285928302,
"AUS","LFPR","15_24","PC_AGE","A","2013",66.8225605397506,
"AUS","LFPR","15_24","PC_AGE","A","2014",66.5625225594069,
"AUS","LFPR","15_24","PC_AGE","A","2015",67.2649619368438,
"AUS","LFPR","15_24","PC_AGE","A","2016",66.785629123615,
"AUS","LFPR","15_24","PC_AGE","A","2017",66.8940111010211,
"AUS","LFPR","15_24","PC_AGE","A","2018",67.8506391832142,
"AUS","LFPR","15_24","PC_AGE","A","2019",68.1177328036223,
"AUS","LFPR","15_24","PC_AGE","A","2020",66.2325015026439,
"AUS","LFPR","15_24","PC_AGE","A","2021",68.5745695693208,
"AUS","LFPR","55_64","PC_AGE","A","1966",53.7601624441341,
"AUS","LFPR","55_64","PC_AGE","A","1967",54.7793399607658,
"AUS","LFPR","55_64","PC_AGE","A","1968",55.161507994835,
"AUS","LFPR","55_64","PC_AGE","A","1969",53.7195463861213,
"AUS","LFPR","55_64","PC_AGE","A","1970",54.043481530762,
"AUS","LFPR","55_64","PC_AGE","A","1971",54.0010626016731,
"AUS","LFPR","55_64","PC_AGE","A","1972",53.9902412540969,
